亚丁	25458
稻城	23707
成都	15200
景区	12499
海拔	10994
小时	10874
海	10594
香格里拉	9823
出发	9650
米	8346
公里	8298
时间	8278
新都桥	8050
说	7673
旅行	7006
雪山	6779
真的	6438
走	6430
行程	6328
地方	6113
山	6092
稻城县	6064
冲古寺	5989
镇	5950
建议	5796
到达	5697
康定	5625
中	5548
点	5504
牛场	5463
路	5302
元	5248
一路	5200
牛奶	4927
海子	4925
吃	4922
五色	4499
约	3992
酒店	3983
感觉	3927
年	3907
里	3892
村	3847
电瓶车	3747
高原	3745
高	3651
拍	3574
拍摄	3571
朋友	3500
月	3405
洛绒	3401
最佳	3349
四姑娘山	3315
客栈	3312
景点	3288
车	3265
门票	3210
天	3148
路上	3124
休息	3111
下午	3059
提前	3034
四川	3016
往返	2997
想	2977
折多山	2920
前往	2919
住	2912
城	2842
红	2826
理塘	2760
风景	2738
住宿	2706
照片	2698
山路	2682
沿途	2672
世界	2670
第二天	2667
乘坐	2614
特别	2540
丹巴	2502
徒步	2501
来到	2499
只能	2476
观光车	2475
不错	2466
四川省	2463
沟	2462
国道	2388
川西	2364
摄影	2329
第一天	2322
选择	2316
草地	2311
车程	2308
一点	2306
做	2296
爬	2294
游客	2292
返回	2291
买	2287
游玩	2287
位于	2273
旅游	2259
风景区	2259
前	2177
早上	2161
包车	2152
找	2129
抵达	2128
生活	2117
珍珠	2114
翻越	2108
分钟	2103
路线	2102
司机	2101
时	2097
车票	2080
塌方	2077
下山	2066
云南	2059
终于	2036
小伙伴	1987
高反	1978
喜欢	1973
机场	1967
两个	1955
草原	1949
红景天	1943
天气	1941
晚上	1941
师傅	1927
旅程	1910
二郎山	1881
康巴	1880
兴伊措	1860
游览	1859
宿	1805
完	1800
太	1782
寨	1767
路过	1764
第一次	1763
介绍	1743
双桥沟	1734
西藏	1734
山上	1719
老板	1716
中国	1710
山顶	1704
G318	1701
一座	1701
步行	1689
不想	1683
观音桥	1659
泸定	1601
安排	1579
拍照	1566
日	1559
价格	1556
经历	1556
做好	1552
坐	1545
请	1544
目的地	1533
草甸	1527
两天	1525
藏族	1525
站	1523
远	1521
下车	1520
味道	1519
多吉	1514
行车	1513
路程	1510
中午	1508
扎	1508
高尔寺	1506
?	1504
三座	1504
路况	1501
班车	1497
半天	1490
☆	1480
最美	1416
新	1413
观音庙	1410
美景	1388
这是	1383
氧气瓶	1371
可爱	1365
攻略	1360
号	1358
途中	1358
感受	1342
线路	1341
距离	1341
越	1337
不到	1332
记得	1330
计划	1328
藏区	1327
夏诺	1326
保暖	1325
景色	1323
12	1322
仙乃日	1322
装备	1319
色达	1317
考察	1316
记录	1316
上午	1313
贡嘎	1310
提醒	1308
日瓦乡	1307
地铁	1305
美丽	1221
感冒	1205
秋天	1202
游记	1197
回	1193
手机	1193
回来	1187
几个	1184
垭口	1182
行	1177
雅江	1173
八年	1170
名字	1170
很大	1170
我会	1170
中心	1167
先	1164
全世界	1161
壮观	1158
推荐	1158
方式	1156
寺庙	1154
一篇	1147
日照	1144
停车	1143
几天	1142
卡子	1139
拉山	1139
一路上	1138
大门	1137
灌崩	1137
眼前	1137
听	1136
排队	1136
地图	1135
物品	1135
体力	1134
国家	1134
地区	1134
美食	1134
藏民	1134
之间	1133
地点	1131
4000	1130
翻过	1129
万亩	1126
地理	1125
驴友	1125
寺	1124
行驶	1124
颠簸	1120
海螺沟	1112
达	1084
雅安	1084
公路	1026
阳光	1026
故事	1021
依然	1017
泸定桥	1000
甲居藏	997
飞机	995
实在	994
起床	990
云	985
地震	985
梁	985
出行	977
七年	975
图	974
租车	972
听说	971
心情	971
11	970
接触	969
神山	969
网络	967
隧道	966
唯一	963
后悔	962
天堂	962
前行	961
长坪	958
结束	957
夜宿	955
低	954
消失	953
沿路	952
藏	952
金山	950
衣物	949
高速	949
300	948
孩子	948
店	948
西安	948
央迈勇	947
150	946
山口	944
拉	944
火车	944
还好	943
午餐	942
临时	941
忘记	940
扯	940
概念	940
洛克	940
拼车	939
0	937
市	936
累	936
背包	936
傍晚	935
宽窄	935
巷子	935
甘孜藏族自治州	935
简单	935
深圳	933
登山	932
?	930
兔子	930
冲锋衣	930
色拉	930
PS	929
傍河	929
冲古	929
草滩	929
遗迹	929
需	927
厚	926
資料	925
遊記	925
自驾	836
重庆	834
好看	822
一张	821
旅途	821
电影	808
身体	800
景	797
没什么	797
自由	795
好像	794
打算	794
不好	791
途经	790
红杉	788
风光	786
公园	785
哈哈哈	785
游	785
内心	784
高山	784
想到	783
成	783
冷	780
国际	780
高原地区	779
国庆	778
关系	776
可惜	776
上山	775
出门	775
瞬间	775
导致	774
欣赏	774
早就	773
晚餐	772
一家	771
下雨	771
青年	771
漂亮	770
问	770
体会	769
一早	768
东西	768
久	768
第三天	768
玩	767
剪子	766
去年	766
遗址	766
佩服	765
告诉	764
温差	764
解决	764
运气	764
凌晨	763
青藏高原	763
雅拉	762
多公里	761
大熊猫	761
真	761
走过	760
面对	760
很小	759
本来	759
地处	758
大巴	758
著名	758
进藏	758
分界线	757
石头	757
雪	757
信仰	756
充足	756
4500	755
70	755
值得	755
山脚	755
杨林	755
离开	755
雅砻江	754
Day2	753
Day3	753
Day4	753
服用	753
藏寨	753
路途	753
青旅	753
3400	752
三条	752
下图	752
喇嘛寺	752
河谷	752
电线杆	752
紧张	752
美国	752
脚下	752
路段	752
大雪	751
即可	750
探险	749
袜子	749
足够	749
身边	749
110	748
50	748
发烧	748
想想	748
打扰	748
登山鞋	748
当天	747
钱	747
售票处	746
孤独	746
冰川	745
差	745
40	744
人群	744
塔林	744
处	744
尊胜	744
旅社	744
逆流而上	744
银河	744
防水	744
黄	744
去洛绒	743
位置	742
太古	742
无量	742
马夫	742
公交车	740
服务中心	740
說	740
马帮	740
美	707
甘孜	679
写	640
季节	637
开	622
回到	620
体验	617
原因	616
蓝天白云	614
工作	613
明天	613
图片	612
用品	612
美的	612
开心	609
挺	606
字	605
心	605
cn	603
html	603
http	603
i	603
mafengwo	603
www	603
川藏线	603
适合	599
难	598
因人而异	597
段	597
胶囊	596
防晒	596
便宜	595
费用	595
镇上	595
一段	594
江苏	594
湖泊	594
狗	594
相遇	594
行李	594
15	593
墨石	591
大山	591
林	591
河流	591
真实	591
座	590
最终	590
第四天	590
塔公	589
平原	589
早餐	589
感冒药	587
话	587
雨	587
旅	586
衣服	586
佛系	585
定制	585
晚	585
气温	585
雨季	585
风	585
60	582
十八弯	582
回去	582
带来	582
映秀	582
盘山	582
翻山越岭	582
进	582
感动	581
放弃	581
第一站	581
第五天	581
红色	581
心中	580
神奇	580
虔诚	580
赶路	580
青海	580
一步	579
平方公里	579
情况	579
热情	579
症状	579
面积	579
一晚	578
人生	578
干粮	578
弯山	578
情绪	578
正式	578
相机	578
一场	577
峡谷	577
川藏	577
必备	577
积雪	577
色彩	577
马	577
Day1	576
不用	576
乡村	576
带上	576
昨日	576
有个	576
次日	576
生命	576
加	575
山坡	575
条件	575
药品	575
尝试	574
桑堆	574
一阵	573
各类	573
圣山	573
头	573
当晚	573
搜索	573
本次	573
神州	573
该是	573
善良	572
躺	572
便是	571
条	571
洗澡	571
丹巴县	570
依旧	570
入住	570
名气	570
标准	570
死	570
相关	570
穿越	570
这辈子	570
历史	569
头晕	569
小姐姐	569
爬上去	569
超级	569
大渡河	568
山垭口	568
文化	568
景象	568
模式	568
直达	568
自拍	568
购买	568
先去	567
客运	567
懂	567
有人	567
滴滴	567
研究	567
缓解	567
采购	567
一周	566
基地	566
假期	565
手套	565
方向	565
秋季	565
陡峭	565
2900	564
交通	564
免费	564
区域	564
喝	564
困惑	564
国务院	564
小说	564
意	564
搞清楚	564
文章	564
杂志	564
泥泞	564
约瑟夫	564
考验	564
虚构	564
郎吉岭	564
一口气	563
多米	563
碎石	563
统一	563
120	562
4700	562
一日	562
大大的	562
担心	562
观景台	562
170	561
世外桃源	561
中甸县	561
乌镇	561
体质	561
信息	561
团里	561
屁股	561
拉乌	561
拖	561
林芝	561
熊	561
爬行	561
牛羊	561
环绕	561
芒康县	561
??	561
16	560
200	560
事物	560
人会	560
单车	560
哥哥	560
明白	560
相距	560
票	560
租用	560
购票	560
这家	560
逛逛	560
隔	560
估计	559
停下来	559
周边	559
开车	559
节省	559
越野车	559
App	558
两种	558
乡	558
南	558
古冰川	558
后期	558
涉水	558
票价	558
西岭雪山	558
面包车	558
世达赖	557
平台	557
手脚	557
抓绒	557
旺季	557
没带	557
河	557
热	557
观景	557
一班	556
LR	555
上坡	555
個	555
号线	555
因為	555
多带	555
抄	555
整合	555
方案	555
春熙路	555
爬坡	555
薄	555
色	462
佛学院	454
确实	430
算是	429
那种	429
团	419
放	419
DAY1	418
牦牛	418
云雾	417
家	417
十月	412
惊喜	412
景观	412
见到	412
远远	412
遗憾	412
一种	411
特色	411
单身	410
发现	410
城市	409
希望	409
水	409
盘山公路	409
药	409
错过	409
十点	408
同行	408
想起	408
帽子	407
网上	407
建筑	406
栈道	406
2015	403
老板娘	403
越来越	403
葡萄糖	402
买票	401
人物	401
几张	401
度过	401
房间	401
百度	401
赶到	401
车辆	401
随便	401
14	400
4298	400
一条	400
山间	400
日出	400
爱	400
程度	400
路边	400
送	400
门口	400
防晒霜	400
微信	399
想象	399
我来	399
是因为	399
相见	399
轻松	399
远方	399
大街小巷	398
一拨	394
中途	394
五星红旗	394
医护人员	394
半小时	394
回程	394
姝	394
小雪	394
心底	394
描述	394
插	394
楼	394
租	394
穿衣服	394
终点	394
藏语	394
命运	393
意义	393
无论是	393
星期	393
毛垭	393
流水账	393
疲惫	393
白塔	393
结伴	393
颜色	393
下雪	392
专业	392
充满	392
先来	392
办法	392
圣地	392
大片	392
头痛	392
好好	392
小雨	392
开启	392
找到	392
甘肃	392
贯穿	392
这篇	392
逗留	392
面前	392
预定	392
倒	391
前一天	391
去色	391
含	391
小溪	391
很漂亮	391
照应	391
睡	391
观赏	391
金黄	391
27	390
一辆	390
三个	390
全国	390
再见	390
午饭	390
口	390
吃饭	390
夏天	390
寻找	390
小易	390
巴黎	390
日瓦	390
显得	390
晚饭	390
有时候	390
来回	390
爱上	390
铁塔	390
闲逛	390
三大	389
事情	389
出游	389
急	389
第一关	389
第二次	389
一句	388
坐在	388
旅行社	388
木	388
穿	388
羽绒服	388
观看	388
一下子	385
一双	385
世人	385
也许	385
入口	385
参考	385
发展	385
向往	385
四季	385
土路	385
家家户户	385
川	385
已久	385
爬山	385
片段	385
艰难	385
蓝天	385
规划	385
重点	385
阴天	385
90	384
一颗	384
典型	384
再也	384
危险	384
山里	384
暂时	384
正	384
结识	384
药物	384
过后	384
退烧药	384
阴影	384
3000	383
450	383
ps	383
人口	383
众多	383
县城	383
吐	383
夜	383
大雾	383
完毕	383
幸运	383
意外	383
我要	383
改变	383
有趣	383
歇一会	383
没人	383
洗头	383
童话	383
等候	383
缭绕	383
翻	383
萌	383
转山	383
辛苦	383
飘	383
飞夺	383
35	382
保存	382
停留	382
剧烈运动	382
友善	382
外	382
如诗如画	382
小吃	382
左边	382
差点	382
期间	382
洗发水	382
睡觉	382
矿泉水	382
窝	382
蚂蜂	382
越高	382
造型	382
预留	382
不远	381
事	381
今日	381
休整	381
停靠	381
分水岭	381
南门	381
堵	381
天边	381
山到	381
山城	381
帮	381
床位	381
戴	381
措	381
旁	381
早	381
昨晚	381
森林	381
湖	381
白色	381
直至	381
神秘	381
秋日	381
自备	381
衬托	381
诗	381
一整天	380
墨镜	380
直奔	380
证件	380
费力	380
走上	380
身份证	380
轻微	380
险峻	380
鞋子	380
一层	379
印	379
大部分	379
懵	379
提供	379
用餐	379
路途遥远	379
饭店	379
17	376
2001	376
3008	376
3700	376
LostHorizen	376
三地	376
不堪	376
之地	376
事故现场	376
享受	376
从龙	376
以北	376
以南	376
佛祖	376
作家	376
关键	376
卧龙	376
历练	376
发表	376
可怕	376
同坝	376
品牌	376
地平线	376
夸张	376
定格	376
寸	376
巴朗山	376
希尔顿	376
年代	376
应对	376
心真大	376
愉快	376
慎重	376
我国	376
批准	376
抬头	376
探险家	376
时而	376
明亮	376
更名	376
未知	376
机会	376
植物学家	376
水塘	376
水草	376
海拔高度	376
滇	376
滚落	376
灾情	376
理清	376
甚	376
电线	376
盗图	376
真容	376
眼眸	376
种种	376
穿脱	376
笑容	376
第二日	376
箱子	376
英国	376
藏传佛教	376
装饰	376
詹姆斯	376
说白了	376
近几年	376
进出	376
防风	376
隶属	376
雪景	376
马道	376
160	375
一名	375
勇气	375
奔	375
守护	375
左	375
影响	375
忽略	375
排列	375
晕	375
核心	375
滚	375
而行	375
背上	375
背着	375
远眺	375
3.5	374
4200	374
S201	374
Y548	374
五步	374
停电	374
努力	374
勇敢	374
南迦巴瓦峰	374
叔叔	374
喧嚣	374
地狱	374
坐火车	374
奉上	374
带些	374
怒江	374
我报	374
扶	374
抖	374
抱团	374
指南针	374
携带	374
旅友	374
氛围	374
活该	374
